Év-hónap,Mosolygós emojik használata (darab)
2013-01,500
2013-02,520
2013-03,550
2013-04,600
2013-05,620
2013-06,640
2013-07,700
2013-08,720
2013-09,750
2013-10,780
2013-11,500
2013-12,520
2014-01,550
2014-02,600
2014-03,620
2014-04,640
2014-05,700
2014-06,720
2014-07,750
2014-08,780
2014-09,500
2014-10,520
2014-11,550
2014-12,600
2015-01,620
2015-02,640
2015-03,700
2015-04,720
2015-05,750
2015-06,780
2015-07,500
2015-08,520
2015-09,550
2015-10,600
2015-11,620
2015-12,640
2016-01,700
2016-02,720
2016-03,750
2016-04,780
2016-05,500
2016-06,520
2016-07,550
2016-08,600
2016-09,620
2016-10,640
2016-11,700
2016-12,720
